Address,Lat,Lng
199 Water Street New York NY 10038,40.7069203,-74.0045058
404 5th Ave New York NY 10018,40.7503709,-73.9836916
3537 36th Street Astoria NY 11106,40.7550592,-73.9251182
148 Lafayette St New York NY 10013,40.7194095,-74.000036
134 N 4th St. Brooklyn NY 11249,40.7163141,-73.9602023
750 Lexington Ave New York NY 10022,40.7626903,-73.9682642
135 E 57th Street New York NY 10022,40.7613997,-73.9693383
575 Lexington Avenue New York NY 10022,40.757208,-73.9712075
511 West 25th Street New York NY 10001,40.7494757,-74.0038764
63 Flushing Avenue Brooklyn NY 11205,40.6982976,-73.9746031
28-07 Jackson Ave Long Island City NY 11101,40.7488948,-73.9388294
27-01 Queens Plaza N Long Island City NY 11101,40.7508189,-73.9387435
609 5th Avenue New York NY 10017,40.7575084,-73.9772867
135 Madison Ave New York NY 10016,40.7459949,-73.9839746
450 Park Avenue South New York NY 10016,40.7449729,-73.9831812
54 W. 40th St. New York NY 10018,40.7529739,-73.9842196
401 Park Avenue South 10th Floor New York NY 10016,40.742994,-73.9839001
8 W 126th Street New York NY 10027,40.8072117,-73.9425926
110 Wall St New York NY 10005,40.7049028,-74.0064172
109 S 5th Street Brooklyn NY 11249,40.7116869,-73.963812
125 West 25th Street New York NY 10001,40.7448145,-73.9928279
408 Broadway New York NY 10013,40.7188811,-74.0018562
349 5th Avenue New York NY 10016,40.7481164,-73.9843674
222 Broadway 19th Floor New York NY 10038,40.7107509,-74.0081217
205 E 42nd St New York NY 10017,40.7508765,-73.9736077
379 West Broadway 2nd Floor New York NY 10012,40.7236413,-74.0022737
154 Grand St. New York NY 10013,40.7202344,-73.9986357
175 Varick Street New York NY 10014,40.7274061,-74.00605
25 Broadway 9th Floor New York NY 10004,40.7055953,-74.0139712
428 Broadway New York NY 10013,40.719656,-74.0012296
450 Lexington Ave New York NY 10017,40.7532886,-73.9754271
880 3rd Avenue New York NY 10022,40.7579078,-73.9697061
27 E 28th St New York NY 10016,40.743799,-73.985171
85 Broad St New York NY 10004,40.7040662,-74.0111456
120 E 23rd St New York NY 10010,40.739496,-73.98572
315 W 36th Street New York NY 10018,40.754045,-73.9933586
1460 Broadway New York NY 10036,40.7551279,-73.9861749
12 East 49th Street 11th floor New York NY 10017,40.7572312,-73.9769653
524 Broadway New York NY 10012,40.7226863,-73.9984603
500 7th Avenue New York NY 10018,40.7532064,-73.9893264
200 Broadway New York NY 10038,40.7105274,-74.0089937
18 West 18th Street New York NY 10011,40.742254,-74.000703
1 Little West 12th Street New York NY 10014,40.7396743,-74.0058434
81 Prospect St Brooklyn NY 11201,40.7008106,-73.9875003
300 Park Avenue New York NY 10022,40.7570209,-73.9746695
261 Madison Avenue New York NY 10016,40.7505033,-73.9806452
609 Greenwich Street New York NY 10014,40.7300283,-74.0079322
575 5th Ave. New York NY 10017,40.7563172,-73.9782738
142 W 57th St New York NY 10019,40.7649513,-73.9791194
115 Broadway Street 5th Floor New York NY 10006,40.7088268,-74.011281
368 9th Ave New York NY 10001,40.7510106,-73.9973477
195 Montague Street 14th Floor Brooklyn NY 11201,40.6942731,-73.9913071
311 W 43rd St. New York NY 10036,40.7584564,-73.9900329
33 Irving Pl New York NY 10003,40.7351327,-73.9881657
205 Hudson St New York NY 10013,40.7237284,-74.0084371
214 W 29th Street New York NY 10001,40.7481045,-73.9939224
154 W 14th Street New York NY 10011,40.7381876,-73.9995769
135 W 41st St 5th Floor New York NY 10036,40.7549214,-73.9858076
11 Park Place New York NY 10007,40.7130634,-74.0082771
